kp_chi,ki_chi,kp_phi,kd_phi,ki_phi,t_rise,t_set,overshoot
0.6624994142,9.9555159117,-9.91218467,-4.379748795,-0.250360017,4.47982741919477,100,275.443907930358
8.7199722407,-10,-1.169742361,4.3891123989,-9.843005672,3.96963716848339,100,14626.6120341917
-10,-4.852872428,-9.271718018,-10,4.1064086345,3.98311825479677,100,226.778307322386
-2.502219177,-10,-10,-5.462195274,0.9409342484,3.98311825479677,100,31938.4373724481
-2.705494789,-9.909879739,2.9420186521,3.8033272569,-8.38377534,3.98276532628068,100,32928.628087026
-10,-3.891967041,-2.712120313,-10,-10,3.98311825479677,100,9699.48283922776
4.9512936244,0.247953153,-9.687960009,-10,9.1822849957,6.23826633631269,100,13647.8886211934
4.6821299653,-10,-10,10,9.9941839821,4.47243848705754,100,289.014957350999
-2.614486214,-10,9.0605600424,9.3079806879,9.3971815707,4.48655971067011,100,30.8607103471295
-10,7.4334650079,7.5605466674,10,9.3958529676,4.06020488049975,100,13693.0876733475
5.0031987344,8.3696540722,7.8625744077,10,-0.839971916,3.55753137545644,100,144.845705711879
10,9.4677110628,9.4991471029,1.7609272636,-1.380423507,3.36135208835529,100,321.640666309747
10,6.30847416,4.0928453489,10,-10,4.47516652350361,100,276.327290786968
9.7999740508,3.5943067711,8.7744256924,-10,-4.863357895,3.98311825479677,100,95598.3708360953
-8.216573207,10,-3.726892949,2.6272534733,10,0.255867318411737,100,16843.7821445862
10,-1.492664389,-1.81660773,10,-10,4.04367684910158,100,68960.0945596404
-4.261496599,-3.450620727,9.6802449281,-10,9.3899633419,5.37832667735272,100,175.612519948237
1.9240544902,2.816692,-3.541279856,10,3.3294115921,3.68558594119957,100,31399.3816155397
10,-9.999046108,10,0.0287059327,-3.608067471,3.38937114303761,100,36704.479937638
-10,10,9.9172522916,7.0686463665,-9.157677953,4.47354081660281,100,308.47178146583
4.5034572722,10,4.7160501948,-4.757745894,-0.67185857,3.98311825479677,100,20787.6948398658
-5.040473605,3.508998209,-3.130379774,2.1803376944,2.4117155099,3.96321933062993,100,18698.4672631917
0.5927812421,-7.657298082,4.7257707521,3.2176966805,4.7225733806,5.36718152332703,100,82904.8444368102
-8.448444592,0.4000807973,5.6055464963,-1.034944839,-3.338891871,3.23416718550759,100,17573.6504454721
-6.63386185,3.6284184754,10,3.4115842691,-10,5.31766589055705,100,304.241475658196
4.1881780133,6.4795173166,-7.267694925,-9.99986373,0.3873322536,4.47982741919477,100,273.933865006558
-0.048157644,-3.25061945,-9.788604177,7.9572522809,0.9394334932,3.32019815286968,100,206.240913461505
1.8837456656,-10,8.8289904714,-2.96494737,4.2971947703,4.47876316675556,100,236.151037989833
0.0613982924,0.0676676305,-10,-0.75584695,-1.625492822,4.48035506555074,100,307.666104300563
0.2967778243,3.4026627538,-2.887264164,-1.726946056,-4.341618516,4.48024102396761,100,290.611694896473
-3.494514182,-4.021090816,-2.405918752,-2.737828435,-10,3.98311825479677,100,20336.8772532011
10,-9.943404104,2.089846917,-10,-8.249047,4.48014996743201,100,35182.036239899
3.2266380117,-10,-9.100632639,-0.485686175,-1.063092517,3.98393685459306,100,7646.18860955102
-10,-10,-4.864675896,-1.522291317,0.3582276128,3.98311825479677,100,1793.44103538749
-7.416752448,-10,-1.386246599,-5.926105057,-9.750884941,3.98311825479677,100,20906.0137408665
0.0786169064,9.5529341164,-0.920816543,-9.9937997,-2.69351277,4.47956852255791,100,277.320544135232
9.9997274593,5.7952677829,-9.999931865,-2.955051043,4.4443094232,5.61684857601436,100,19302.1050830015
-3.698813448,-10,-10,10,1.0808310446,5.59823499806264,100,143.749459855125
-6.951569129,-9.921952855,2.887684981,2.4529411342,6.4516971509,4.49107991853648,100,95572.0542765182
-3.679154434,2.4826446922,1.7580966,-1.086823788,-10,3.98364915280017,100,95604.8004533438
1.2441108236,5.336995494,10,-9.36999341,10,4.90085045848734,100,15097.6199762288
3.2620447089,9.0528039753,-10,10,-3.083843179,4.47561219995738,100,273.078314102231
9.9998637297,-8.988502583,6.927982312,-3.325392699,10,2.98254552094759,100,99619.4794363686
-9.967976471,2.368955361,-2.550900082,4.2952295312,10,5.60332677167217,100,480.470775101195
9.6246377136,-9.9365727,8.8192352815,10,2.346425865,2.85899585615677,100,287.571379221445
-7.833998797,9.84486985,10,3.2491079829,10,0.256266940053288,100,31485.8411841061
5.5996294766,1.7844041805,2.6323894385,10,6.5208220392,5.45242455404617,100,17963.5707534447
0.9016539837,1.3096271321,10,3.897419422,-10,4.47075861713756,100,315.078215140461
-0.673402068,7.2707765376,2.6106452091,-10,10,3.98281059609449,100,26599.0901674824
-0.7616469,2.3516761171,-10,9.8944597153,-4.231368973,4.45898580188012,100,312.816866660187
10,-2.62617164,5.0214958505,-7.608406308,10,5.2514361740204,100,136.835209995379
-9.704595892,10,-10,10,-10,4.47571765783344,100,309.460634160099
5.870911678,2.0217739742,6.3485270379,-10,5.9666428946,3.98258395027685,100,7829.55556908928
-1.453345853,10,-9.964940368,10,3.3303607046,3.97987586086185,100,27880.0481897054
9.1769195203,-1.445912576,6.478283416,1.6690348145,-3.170711155,6.71856589278142,100,93088.2279742447
-10,0.9582594418,-3.00006557,-3.260091742,-9.199236371,3.98311825479677,100,62048.8035609189
10,2.7849314043,-10,-7.739859501,-1.161526633,4.47982741919477,100,274.95290117085
2.8595841563,-2.863338603,-3.800092156,4.0771684779,-10,3.98089381211534,100,16669.3143674427
-0.154722606,-4.453957258,1.5301555677,-9.459975432,-8.949782768,3.98284475902891,100,14953.9532084341
-7.62174462,-2.753421187,-10,-9.499471448,-8.556924915,3.98311825479677,100,16451.9386955384
7.5116778475,-9.999931865,-5.068593469,-9.227655103,10,4.47982741919477,100,89558.6813665315
-10,-9.423406808,-10,10,-8.535904107,4.02249193168806,100,19573.1173391104
-4.878295307,-10,10,0.9447398221,4.1635407901,4.48009963011414,100,67.5794124028842
-8.463918436,10,1.1005871658,10,-10,4.47192811484617,100,306.550599073588
6.8830402632,-5.890891542,6.127412851,-4.462380393,-4.40767376,3.98311825479677,100,26922.2931581201
-4.031676277,10,-0.435643414,3.5943779506,-9.603252777,4.47906541664407,100,283.677500258099
8.2480591947,-9.582937443,2.7451462332,-10,9.817703541,5.2470140815708,100,96061.9522417682
1.8910420326,-2.3492019,-10,9.9996593242,-10,4.02516988954716,100,21284.8481387023
2.6235393747,-9.999727459,10,-5.480455978,-7.805203527,4.47907659333466,100,39744.9235467108
-10,9.9922325909,-10,-7.255018394,-10,3.98311825479677,100,95598.3664330172
4.9061779727,-6.737770644,-10,-9.972309868,5.5084885012,4.47982741919477,100,85184.4376422786
-5.177013576,-6.092271443,-9.957393717,1.4885783296,-1.370312268,3.98311825479677,100,11452.0099594379
-4.982277292,-8.347441873,10,-7.068472079,-10,4.47982741919477,100,29953.5330738352
-10,3.1792555126,-4.288249415,-10,8.1741232538,3.98311825479677,100,22866.1816752843
10,-2.738922818,-8.572148108,10,9.9027378656,4.6914076270944,100,122.298448155171
10,-10,9.0292881851,2.7869531391,5.5384973529,4.47402805988312,100,94517.0218982351
-7.539218494,5.3641693513,-1.307584071,0.7034335863,-4.84336929,5.50595470840835,100,267.787866670903
2.9393079312,-3.226714515,2.095170492,-2.396311778,-10,4.48029729204723,100,37276.1497495696
10,3.4092097754,-5.957812194,-9.99986373,5.3543567023,4.47982741919477,100,29774.5252863751
-2.504235867,-1.223840493,-8.367938681,10,10,7.40033266351927,100,121.211288123014
-1.457167869,-9.768393817,6.0982279746,10,-2.950469812,3.99761952933212,100,23239.8246438829
-10,-2.321050468,9.3675171713,-0.651584518,-9.636319003,4.16385312903206,100,20111.4670984647
10,9.471855556,-6.080688063,-7.820345678,-5.48010617,4.47982741919477,100,275.349225560389
10,3.344372217,-3.193462101,-6.316383724,-10,4.47982741919477,100,275.443907930358
5.1656019864,-10,-1.273782611,-2.628064813,4.3007490175,3.02080426891277,100,92434.1501231069
-4.412571209,9.8876556829,-10,-0.298793301,10,6.68724373947686,100,20356.238467126
2.5720594066,-10,4.1318908425,9.4581729852,-9.452741708,3.98418116575087,100,13757.698816388
-8.018431844,-2.893332878,9.9985010263,-10,-3.955495523,4.47982741919477,100,48433.7376197011
-10,9.5629341569,-0.643625174,-1.901386185,4.083846344,6.60218039776886,100,11059.1266796009
10,-7.310614466,3.5302031484,10,-9.90319955,3.97380039789672,100,20128.9497343182
-10,4.6419951902,5.847120033,-0.348810857,9.3334856282,2.92379758909712,100,21562.3481544147
10,5.3214843804,-10,10,-8.133343141,4.47982741919477,100,274.793586010471
3.4349660625,-4.912383084,2.1778149573,-7.238019934,3.7056696324,3.98311825479677,100,333.327575746771
-7.844064296,2.7320951475,-9.98421717,7.5276445983,-9.987463129,4.47446154225938,100,305.760651289551
5.6272977186,-4.757386755,10,-0.774746501,-9.970088661,4.47418587245507,100,51927.2384594974
-8.64108574,6.6860180432,4.0612388776,-10,-6.375376768,4.47982741919477,100,275.443907930358
5.0534779096,-4.084678421,-10,-1.767969353,-6.027745107,4.47982741919477,100,27507.949908198
-8.004745881,-9.999591189,-0.606549389,-10,10,4.47959458117757,100,97106.8770297851
-10,-2.034170361,-9.999931865,10,2.8858934747,3.57680455467391,100,87142.6110995639
-2.196459959,-3.881919329,9.5098791659,-1.19843917,-9.979150639,4.48091478546851,100,26354.8785873723
-3.704593103,10,5.8961301986,-9.999795594,-1.504507277,4.47982741919477,100,273.933865006558
7.3145126217,-2.003985462,-10,9.9998637297,2.4992737364,3.13073353659172,100,4119.01864768231
3.7009491571,-6.265142042,4.8566097533,3.349151553,-6.334853121,3.98697166994291,100,16832.6702563493
-1.943162785,-6.219284774,0.319530125,0.2335966588,10,5.223387909014,100,222.332996285907
10,-4.633909774,-3.513326488,9.9607105369,0.0095818746,2.64053656744539,100,52.7645568162931
4.0634032035,-10,9.9997274593,5.9186458027,-2.386022257,4.00989497182408,49.8727062395815,48085.7065149553
2.5003406508,10,-4.556370021,4.7507856823,-5.016392219,4.47970762578948,100,275.923241727567
10,4.651992058,3.2945072364,-9.092251791,0.6489567068,3.98311825479677,100,5181.68848299405
-3.86860233,7.855519905,-5.427257829,-3.413945089,4.7696041612,3.98311825479677,100,34599.5706291337
8.8642104881,-10,-10,5.5636533598,-2.055063113,3.98323118570636,100,14290.8345351589
-10,-3.129140867,-10,-2.065984291,-7.397198709,3.98311825479677,100,13356.4761490875
1.757837123,5.4089248311,2.0185061189,-7.032819507,-9.681317103,4.48022351916574,100,295.408330875795
-2.976070926,-7.447741961,-5.802952659,-10,-10,3.98311825479677,100,26042.9685074204
-1.981691168,-9.996252566,-9.890645781,-9.695465779,7.59745757,3.98311825479677,100,267.113520353
-10,-9.875629531,-10,2.0020984524,-10,3.98311825479677,100,12598.0227963846
-8.380777654,-10,7.9392603132,-10,9.9999318648,4.47982741919477,100,206.26158276218
-5.644940228,10,-10,2.9600319924,-10,4.47722309030897,100,290.817287266174
10,-4.05592038,-0.503332825,-5.62755037,-6.873613067,4.47982741919477,100,36349.856526448
-3.156481945,5.7742486598,-10,-9.999931865,-1.451767149,3.98311825479677,100,95595.7053733045
10,-0.871738726,-10,-1.968498962,9.9997955945,3.61759894849685,100,5927.10453762896
-2.656992948,-10,1.3938986042,9.54892029,4.1858289468,5.39534779559445,100,198.398451953982
-5.796740649,-9.125249973,10,8.5289219323,2.3249376629,4.43606727328576,100,86620.9287883773
-10,8.3772434074,3.3147827235,0.4176083029,-10,0.572549580906414,100,306.284364361598
10,3.9614423674,1.3169748945,-10,10,3.98311825479677,100,9726.85887435803
9.9821894671,-5.292619195,-5.321530486,-0.240142291,-10,4.47982741919477,100,47281.3990615566
3.7151142258,-10,-2.405902614,-10,-9.886996898,4.47982741919477,100,22058.6104127083
-10,9.8854522461,-9.397987964,-10,-2.439285475,3.98311825479677,100,93590.5257250315
10,-9.853199674,-8.369297697,-2.211775185,-4.667780267,4.47982741919477,100,19315.717630203
-6.568208471,-10,-4.547459519,-8.616176766,3.4448255422,3.98311825479677,100,284.951933392949
-4.99221719,1.149085475,-5.362441063,-0.937054949,8.906649985,7.40126302064051,100,233.579593728472
-5.144400575,-10,-4.275141961,8.0887077647,-10,3.98690722048175,100,17871.8129251063
-1.871382156,1.0665355229,10,-0.362005792,9.9714159344,1.22278195013981,100,293.737250614528
-5.172928259,10,6.0820773348,10,-4.751318271,4.46680361976999,100,280.345916414966
10,-4.315871719,10,-4.621207293,4.0954630203,6.40520848721005,100,4761.7337242144
-10,8.5717560376,-10,10,-0.499953271,4.44888111889579,100,302.262928586049
5.2413681582,-0.651313878,9.612717199,-3.742529399,10,6.85914572852976,100,73895.7641318676
-10,2.4967820334,1.8517893259,4.6030958884,-0.054782053,15.9294882356585,100,31088.56094891
4.2082779534,4.9411132653,9.8463148606,-1.450166538,4.4836916503,3.62369035463275,100,110.021483618927
-2.177110332,8.0372206553,-4.245802941,-2.777533433,-10,3.98311825479677,100,95603.9392364448
9.8609731881,-5.055792141,-1.514567122,-6.55007728,6.4448932556,3.76209150469896,100,85107.2444763289
3.7755919996,9.9058889809,-10,5.2168038769,10,4.97191059115883,100,35004.3413816618
6.3929834794,-8.9740634,3.7132409054,10,-2.650123763,4.03326510251984,100,22719.3983149808
-10,9.1728915,10,-4.963492798,2.7986040663,5.07442762422401,100,24219.1027349105
3.8788055823,8.76674605,-0.362636812,5.3901719699,10,4.08301492408274,10.4804700115438,69.6575024401742
10,-0.491128861,6.5846159317,10,-6.360727201,5.03820082706968,100,94599.9448378863
-10,9.9915866695,10,-6.217321908,-6.159887957,4.47961952393747,100,283.919819005925
8.871451244,9.407551874,-2.563044906,-1.165355126,-10,4.47982741919477,100,275.443907930358
7.775175167,0.7166490833,-1.325370228,0.1445831402,-7.69615369,4.47982741919477,100,275.443907930358
-10,0.311673625,-10,-5.214040268,9.6234839727,4.02682551571435,100,98246.3212966637
7.231609739,-0.880855499,-7.552726058,10,-4.926892049,3.79844708669102,100,78878.1351873322
-0.30951339,-10,9.4930409709,-8.135225922,10,6.25305680234009,100,353.075694539102
-10,9.2809971337,-9.659309396,10,10,4.07651292704059,100,31288.6998775896
10,-7.531635488,10,9.5142087906,-5.397299848,4.09817591409019,100,42435.9889820649
-10,5.5272109865,9.9848739928,-10,10,6.52553727935598,100,14699.4099149105
7.6600142758,10,-5.265811131,10,8.5829427856,4.93963353201865,100,47862.5762490567
10,-3.737053253,4.0242720534,10,3.2633085644,5.44478688327705,100,199.225420882479
-10,4.8155239302,8.7370574752,4.5018796024,-3.153644387,5.45795788972753,100,295.772272737078
9.2520477284,10,-2.381835409,-10,1.0870395725,4.47982741919477,100,48797.5976002436
10,-0.380370816,-10,2.7266766929,3.4927471163,5.3430827344292,100,14976.0375290823
9.435614493,-4.836969516,0.2285827281,8.9615649854,10,6.1992602384654,100,318.917685646634
-4.366437448,6.2552123607,2.2077758524,10,8.6088110205,4.95832643785559,100,35406.0520256798
3.4616875363,3.5064145448,10,10,7.2818231299,4.16651967679416,100,6775.54014223087
-2.734602299,10,10,10,4.3744011934,4.91924256727125,100,15031.8987410914
5.6474516756,10,9.8944422727,7.1619756625,10,4.00588530467503,9.02050712154811,46.2819868971115
10,7.1532112666,9.9999318648,9.9731302152,4.7619942867,5.10770400306562,100,13668.8100743028
9.976673244,2.6848278809,7.3456985228,7.151355052,9.9991142428,4.04906983251749,100,211.491041423177
2.259792848,10,3.8322961364,9.7312955023,5.2297131554,4.90925929365678,100,36800.5616235762
4.7219747387,2.7656791722,10,5.1495261055,-2.624672537,5.24535900530659,100,203.634361505062
9.9016513005,10,3.9831173066,-5.652575209,9.9672542384,4.92822852037547,100,12170.374847162
9.9973427285,10,-5.983907074,10,-3.195682036,4.47718703610437,100,271.567187595363
4.8993422841,-4.030177161,8.6665520321,-10,-10,3.98311825479677,100,27333.7193743241
0.0804586072,3.1734661164,-7.390222023,-10,-10,4.47960968674536,100,268.458919922925
2.2167938999,-3.698548185,-10,-8.055782349,-9.863533435,4.47982741919477,100,25303.6975264138
-9.841375224,-6.350741163,-6.210642444,-9.321660267,-3.021181393,3.98311825479677,100,11814.963484918
-7.843749321,-9.969393683,-10,-3.964960876,-4.683610273,3.98311825479677,100,2376.93881696607
-10,-10,-8.195813384,-9.087368395,-10,3.98311825479677,100,12384.7295578652
-10,-7.65739298,1.5800138931,-10,-3.148939766,4.47982741919477,100,18298.9746848389
-0.294368165,2.8177225279,-9.091918964,-6.697323888,4.5822150445,4.47969166008864,100,22880.8130125712
1.4559283687,-9.614442272,-2.307983144,-0.04611321,-10,3.98326766266966,100,35903.3310942907
-10,-3.125140071,4.3272777724,-9.422172591,10,5.34271235454658,100,211.852428253876
3.4953186105,-8.723055453,-10,10,-5.556535232,4.03035255464627,100,26788.3834889119
2.848920058,-6.350569998,10,1.1717581045,9.7436466095,4.47751858658339,100,98012.3683361183
-10,3.8888211092,-4.307259536,9.9447309322,4.3976549646,5.17331080813526,100,36107.384873989
10,-3.319342549,9.315336517,2.4113820593,10,8.81920960801428,100,151.952462887289
6.3548661176,6.3886778386,3.5406676828,5.3034584442,-4.828758834,4.47643363053829,100,312.257722279557
9.9624438955,9.4826348029,4.7457996045,3.0385738783,10,4.0446198691776,10.1502246184786,167.235914297687
-0.357913568,0.3939198707,-0.946153366,9.6974971232,10,1.27621306676729,100,27644.4563268267
5.4848088243,3.6428720932,10,9.8931553356,-10,4.47302274968667,100,217.69477699028
-4.398285609,10,9.6516063544,-7.916623813,7.4344146162,3.1911682667007,100,19371.8158730635
10,4.723570438,-10,7.7438473677,10,7.51202734089155,100,7122.65818964823
9.8064306047,-0.535428631,10,5.9500714829,3.4023108418,9.71262276272244,100,17147.4132158332
-1.250627208,7.8977984668,9.9033069305,-3.35906722,-1.11171324,3.98442699067109,100,5989.67183484839
10,9.4884780078,3.9922218094,-2.702958798,-5.952988653,3.98311825479677,100,95595.7053733045
7.2046251282,4.1944508876,-10,-10,-8.053094947,4.47982741919477,100,275.459309029415
-2.967874664,-6.627881469,-9.993050213,-2.654777765,-9.973941253,3.98311825479677,100,12617.4103727762
-10,-9.840147592,4.8620509868,-10,-9.999931865,4.47982741919477,100,16644.0721372938
-1.142293318,-6.269686353,-3.812725418,-3.097597423,2.7838334828,3.98311825479677,100,281.467359267921
-6.33220002,-3.332721314,-3.016354733,3.7727615582,-2.091473403,3.40659446227137,49.6685154562675,38163.1080783629
-10,-5.37604428,1.4354512328,-1.138046045,-6.376926664,3.98365787894051,100,17080.822262237
3.6989476244,10,-3.4067849,-9.892783154,-10,4.47982741919477,100,275.443907930358
2.9266710586,-2.939983086,-3.579168117,-6.814095005,10,2.91694612571036,100,93539.21922197
-4.380273191,-3.795202496,-10,4.7360509505,-10,4.00336419587117,100,5049.55965098654
-10,-10,9.9216500079,-1.655093757,-7.724189836,3.19453263252467,100,14949.1743026141
-3.050383706,5.6278476453,-6.472385992,-10,10,3.98311825479677,100,39722.5487840426
10,-5.728324053,-10,9.9897175856,-10,0.303323668378942,100,26866.044778645
-10,-10,8.7852583555,-7.827968794,-2.622607346,4.47982741919477,100,28862.6722453582
-10,7.5793805665,-6.595404764,-4.110957937,9.9925187586,2.92507813616434,100,19731.6919217542
2.7052884097,-9.827465948,-3.720104142,8.8287839379,-10,3.99913695740092,100,35744.272787917
-10,1.5040941113,8.5418889165,-8.856483446,-9.93084553,4.47982741919477,100,275.167844266151
-5.83779213,9.4224154573,-10,-3.332563198,-4.581116285,3.98311825479677,100,95595.7053733045
9.946974487,-3.767471256,-9.959105817,-3.467517831,-0.055521073,4.47982741919477,100,18082.0373891156
-10,-10,-1.244091807,7.2943400143,10,5.40465097825119,100,100591.872632713
-5.700273106,-5.674057887,2.9802800365,10,9.8210775945,6.27437331429166,100,120.36931397009
-10,-4.060435581,8.368909057,10,6.2138057407,5.41215213364027,100,91242.9410226628
-8.94325721,3.0010683345,9.7798528745,8.1258302635,3.6337981479,7.87588181945411,100,26581.5005325172
9.9996593242,9.8980812357,10,-6.210443496,-2.148801847,3.98311825479677,100,2561.72265993655
10,10,-2.90410078,-0.038975025,10,4.46272199500416,100,21472.9494006224
8.9373600815,10,-8.302272708,3.9292047644,-7.618248254,4.47982741919477,100,275.349225560389
1.9192087183,-10,10,-10,0.9012206561,4.48017918300522,100,310.079629006269
-0.666734241,10,-10,10,-10,4.47944975473093,100,311.599561006112
9.967981922,-10,-2.615695589,-10,1.3917151365,4.47982741919477,100,274.793586010471
-10,3.8616151858,-9.908957789,2.1073793978,8.7487257399,6.76925537106119,100,463.011291638658
6.5270262933,0.3712467572,0.8020913672,7.5519303987,-0.921844047,1.46659399354842,100,42.3826222505865
-9.226262285,-0.328752065,10,-4.753284047,9.9997955945,9.60021385030302,100,268.996988986501
1.0331782293,8.3403322955,0.9892108052,9.8847944419,-3.022833129,4.47395286459769,100,303.478831859573
10,5.4131715013,10,-7.939701848,10,4.94916555142498,100,2531.32002413681
-1.260383479,1.7784669202,-2.573110324,10,-10,4.46723190955371,100,270.945774083443
10,-9.104491859,9.0273690191,-6.73553255,-10,3.98311825479677,100,20879.3999468245
-10,10,-1.792873299,-8.530168211,-10,3.98311825479677,100,95603.9392364448
5.0852697889,-4.601788849,-7.930300382,-0.607127759,5.7345200689,5.50476512966798,100,158.795744749059
-8.328837449,-9.698922903,-6.181868833,6.5323059822,-2.790627122,4.03061941394881,100,33058.1269235573
-9.976539699,0.0822544343,10,4.6163764181,10,0.0477400515627018,100,94158.2289272433
-10,3.6305575761,5.7740386864,9.8735602064,-9.801364183,4.46767627964526,100,285.997157376616
10,8.1867606988,10,-6.342220542,-10,3.98311825479677,100,95598.5995232097
2.5719119886,10,-8.490852911,-1.744253385,6.8053699532,4.37949574406357,100,37606.9049477581
9.9927912992,-9.896646582,-4.730043013,10,-5.759670204,3.99502174230189,100,24316.9579416478
-10,-6.13797685,10,-6.759406159,4.4338690998,4.4791222792187,100,281.465802996816
-7.467751357,10,-1.581854721,-10,10,5.39011066550301,100,25185.0044686364
6.3391432228,-9.110452432,3.7099156685,2.8944618391,10,4.47405344517902,100,194.239734104523
-9.908110187,-2.533799989,-0.163679838,10,2.1366216824,7.67805940946115,100,112.112918423568
-2.570330023,2.1847073413,9.7643452013,1.8816923374,-1.840720117,5.28417801630267,100,818.556127569341
1.0353379801,10,0.8253755027,-1.761555895,9.0238032888,5.00290040700147,100,26620.9514542868
9.8772932505,4.180002326,-3.160541828,6.453076676,-6.016929606,4.47898979216009,100,272.318247027611
-2.032763836,1.3536589588,6.3237288264,-10,-7.581825186,4.47982741919477,100,275.443907930358
-9.999795594,3.6114682312,-6.195028366,-10,-9.78343927,3.98311825479677,100,88311.0419529899
9.5320640332,-5.791189603,-6.624259241,-9.351374435,-3.961068424,4.47982741919477,100,37119.1653025543
-9.252747116,-9.847957736,-10,-2.396198444,8.331942809,4.02228234791571,100,151.898573934061
2.0677872596,-10,-1.13034704,10,10,5.3146800989921,100,259.388817913131
-10,-3.814747732,8.8296055935,10,-10,4.01303185531774,100,26275.7329594827
7.2370652212,10,5.1185009571,-10,-6.222904605,3.98311825479677,100,95599.7740422552
6.1769021152,7.5124100937,-10,-7.287651267,10,5.50426474092226,100,22498.6319241199
5.9723194828,-8.678313661,-9.647039663,3.8384492925,-10,3.96750520637065,100,31735.25145378
-9.931164403,-9.03613087,5.5634794554,-1.78804561,1.1988202491,4.47887097382696,100,116.8964762744
